run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v2_explored,126,-47.9599,-1.9983,1.9983,0.0937,0.05,0.99
policy_v2_explored,127,-56.9599,-2.3733,2.3733,0.09365,0.05,0.99
policy_v2_explored,128,-177.9599,-7.415,7.415,0.0936,0.05,0.99
policy_v2_explored,129,-85.9599,-3.5817,3.5817,0.09355,0.05,0.99
policy_v2_explored,130,-81.9456,-3.4144,3.4144,0.0935,0.05,0.99
policy_v2_explored,131,-78.7883,-3.2828,3.2828,0.09345,0.05,0.99
policy_v2_explored,132,-84.9599,-3.54,3.54,0.0934,0.05,0.99
policy_v2_explored,133,-57.101,-2.3792,2.3792,0.09335,0.05,0.99
policy_v2_explored,134,-87.9599,-3.665,3.665,0.0933,0.05,0.99
policy_v2_explored,135,-65.9599,-2.7483,2.7483,0.09325,0.05,0.99
policy_v2_explored,136,-94.9599,-3.9567,3.9567,0.0932,0.05,0.99
policy_v2_explored,137,-231.6087,-9.6504,9.6504,0.09315,0.05,0.99
policy_v2_explored,138,-145.1363,-6.0473,6.0473,0.0931,0.05,0.99
policy_v2_explored,139,-75.9599,-3.165,3.165,0.09305,0.05,0.99
policy_v2_explored,140,-77.9599,-3.2483,3.2483,0.093,0.05,0.99
policy_v2_explored,141,-66.9599,-2.79,2.79,0.09295,0.05,0.99
policy_v2_explored,142,-65.9647,-2.7485,2.7485,0.0929,0.05,0.99
policy_v2_explored,143,-154.9599,-6.4567,6.4567,0.09285,0.05,0.99
policy_v2_explored,144,-84.9599,-3.54,3.54,0.0928,0.05,0.99
policy_v2_explored,145,-56.1363,-2.339,2.339,0.09275,0.05,0.99
policy_v2_explored,146,-64.9599,-2.7067,2.7067,0.0927,0.05,0.99
policy_v2_explored,147,-65.1363,-2.714,2.714,0.09265,0.05,0.99
policy_v2_explored,148,-45.1315,-1.8805,1.8805,0.0926,0.05,0.99
policy_v2_explored,149,-178.9599,-7.4567,7.4567,0.09255,0.05,0.99
policy_v2_explored,150,-76.9599,-3.2067,3.2067,0.0925,0.05,0.99
policy_v2_explored,151,-45.9599,-1.915,1.915,0.09245,0.05,0.99
policy_v2_explored,152,-145.9599,-6.0817,6.0817,0.0924,0.05,0.99
policy_v2_explored,153,-65.1363,-2.714,2.714,0.09235,0.05,0.99
policy_v2_explored,154,-36.9599,-1.54,1.54,0.0923,0.05,0.99
policy_v2_explored,155,-85.9599,-3.5817,3.5817,0.09225,0.05,0.99
policy_v2_explored,156,-55.1363,-2.2973,2.2973,0.0922,0.05,0.99
policy_v2_explored,157,-67.9599,-2.8317,2.8317,0.09215,0.05,0.99
policy_v2_explored,158,-46.9599,-1.9567,1.9567,0.0921,0.05,0.99
policy_v2_explored,159,-75.5051,-3.146,3.146,0.09205,0.05,0.99
policy_v2_explored,160,-244.4371,-10.1849,10.1849,0.092,0.05,0.99
policy_v2_explored,161,-136.9599,-5.7067,5.7067,0.09195,0.05,0.99
policy_v2_explored,162,-154.9599,-6.4567,6.4567,0.0919,0.05,0.99
policy_v2_explored,163,-64.9599,-2.7067,2.7067,0.09185,0.05,0.99
policy_v2_explored,164,-186.9599,-7.79,7.79,0.0918,0.05,0.99
policy_v2_explored,165,-38.101,-1.5875,1.5875,0.09175,0.05,0.99
policy_v2_explored,166,-59.9599,-2.4983,2.4983,0.0917,0.05,0.99
policy_v2_explored,167,-76.9599,-3.2067,3.2067,0.09165,0.05,0.99
policy_v2_explored,168,-70.9599,-2.9567,2.9567,0.0916,0.05,0.99
policy_v2_explored,169,-56.9599,-2.3733,2.3733,0.09155,0.05,0.99
policy_v2_explored,170,-151.9599,-6.3317,6.3317,0.0915,0.05,0.99
policy_v2_explored,171,-450.1315,-18.7555,18.7555,0.09145,0.05,0.99
policy_v2_explored,172,-324.101,-13.5042,13.5042,0.0914,0.05,0.99
policy_v2_explored,173,-75.9599,-3.165,3.165,0.09135,0.05,0.99
