run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v1,164,-158.8236,-6.6177,6.6177,0.2508,0.1,0.95
policy_v1,165,-68.9599,-2.8733,2.8733,0.2505,0.1,0.95
policy_v1,166,-722.4676,-30.1028,30.1028,0.2502,0.1,0.95
policy_v1,167,-38.3079,-1.5962,1.5962,0.2499,0.1,0.95
policy_v1,168,-194.9599,-8.1233,8.1233,0.2496,0.1,0.95
policy_v1,169,-56.9599,-2.3733,2.3733,0.2493,0.1,0.95
policy_v1,170,-333.4371,-13.8932,13.8932,0.249,0.1,0.95
policy_v1,171,-527.9599,-21.9983,21.9983,0.2487,0.1,0.95
policy_v1,172,-450.644,-18.7768,18.7768,0.2484,0.1,0.95
policy_v1,173,-156.1315,-6.5055,6.5055,0.2481,0.1,0.95
policy_v1,174,-175.9599,-7.3317,7.3317,0.2478,0.1,0.95
policy_v1,175,-76.9599,-3.2067,3.2067,0.2475,0.1,0.95
policy_v1,176,-151.1363,-6.2973,6.2973,0.2472,0.1,0.95
policy_v1,177,-349.9599,-14.5817,14.5817,0.2469,0.1,0.95
policy_v1,178,-246.9599,-10.29,10.29,0.2466,0.1,0.95
policy_v1,179,-55.1363,-2.2973,2.2973,0.2463,0.1,0.95
policy_v1,180,-154.1363,-6.4223,6.4223,0.246,0.1,0.95
policy_v1,181,-260.9456,-10.8727,10.8727,0.2457,0.1,0.95
policy_v1,182,-65.1363,-2.714,2.714,0.2454,0.1,0.95
policy_v1,183,-64.9599,-2.7067,2.7067,0.2451,0.1,0.95
policy_v1,184,-56.1363,-2.339,2.339,0.2448,0.1,0.95
policy_v1,185,-55.1315,-2.2971,2.2971,0.2445,0.1,0.95
policy_v1,186,-156.1363,-6.5057,6.5057,0.2442,0.1,0.95
policy_v1,187,-430.9599,-17.9567,17.9567,0.2439,0.1,0.95
policy_v1,188,-813.7803,-33.9075,33.9075,0.2436,0.1,0.95
policy_v1,189,-69.1363,-2.8807,2.8807,0.2433,0.1,0.95
policy_v1,190,-76.9599,-3.2067,3.2067,0.243,0.1,0.95
policy_v1,191,-341.4371,-14.2265,14.2265,0.2427,0.1,0.95
policy_v1,192,-68.8188,-2.8675,2.8675,0.2424,0.1,0.95
policy_v1,193,-253.9599,-10.5817,10.5817,0.2421,0.1,0.95
policy_v1,194,-72.9456,-3.0394,3.0394,0.2418,0.1,0.95
policy_v1,195,-48.1363,-2.0057,2.0057,0.2415,0.1,0.95
policy_v1,196,-625.3079,-26.0545,26.0545,0.2412,0.1,0.95
policy_v1,197,-162.6462,-6.7769,6.7769,0.2409,0.1,0.95
policy_v1,198,-254.9599,-10.6233,10.6233,0.2406,0.1,0.95
policy_v1,199,-47.9599,-1.9983,1.9983,0.2403,0.1,0.95
policy_v1,200,-52.9904,-2.2079,2.2079,0.24,0.1,0.95
policy_v1,201,-56.9599,-2.3733,2.3733,0.2397,0.1,0.95
policy_v1,202,-56.9599,-2.3733,2.3733,0.2394,0.1,0.95
policy_v1,203,-47.9599,-1.9983,1.9983,0.2391,0.1,0.95
policy_v1,204,-456.9599,-19.04,19.04,0.2388,0.1,0.95
policy_v1,205,-76.9599,-3.2067,3.2067,0.2385,0.1,0.95
policy_v1,206,-30.1363,-1.2557,1.2557,0.2382,0.1,0.95
policy_v1,207,-156.9599,-6.54,6.54,0.2379,0.1,0.95
policy_v1,208,-56.9599,-2.3733,2.3733,0.2376,0.1,0.95
policy_v1,209,-627.9599,-26.165,26.165,0.2373,0.1,0.95
policy_v1,210,-55.1315,-2.2971,2.2971,0.237,0.1,0.95
policy_v1,211,-330.3079,-13.7628,13.7628,0.2367,0.1,0.95
policy_v1,212,-349.4676,-14.5611,14.5611,0.2364,0.1,0.95
policy_v1,213,-148.101,-6.1709,6.1709,0.2361,0.1,0.95
policy_v1,214,-343.1539,-14.2981,14.2981,0.2358,0.1,0.95
policy_v1,215,-147.9599,-6.165,6.165,0.2355,0.1,0.95
policy_v1,216,-358.5051,-14.9377,14.9377,0.2352,0.1,0.95
policy_v1,217,-166.1315,-6.9221,6.9221,0.2349,0.1,0.95
policy_v1,218,-76.9599,-3.2067,3.2067,0.2346,0.1,0.95
policy_v1,219,-73.6462,-3.0686,3.0686,0.2343,0.1,0.95
policy_v1,220,-67.9599,-2.8317,2.8317,0.234,0.1,0.95
